column1,column2,column3,column4,column5,column6
046507,28854.7,0.0,0.0,8471.31,20383.39
053431,28854.7,3174.02,0.0,10816.79,21211.93
113123,28854.7,0.0,0.0,8471.31,20383.39
036269,28816.04,7972.46,0.0,14798.5,21990.0
181676,28814.6,3169.61,0.0,10748.42,21235.79
053261,28748.71,0.0,0.0,2136.33,26612.38
287945,28738.49,10977.01,7107.44,5257.11,27350.95
047228,28721.8,3070.81,0.0,13514.78,18277.83
029025,28653.79,3151.92,0.0,10683.3,21122.41
034584,28653.79,3151.92,0.0,10735.43,21070.28
054470,28653.79,3151.92,0.0,10735.43,21070.28
054925,28653.79,3151.92,0.0,10683.3,21122.41
059145,28653.79,3151.92,0.0,10683.3,21122.41
060879,28653.79,3151.92,0.0,10683.3,21122.41
118290,28653.79,3151.92,0.0,10683.3,21122.41
150959,28653.79,0.0,0.0,2125.89,26527.9
061573,28649.5,0.0,0.0,8346.38,20303.12
104621,28634.8,0.0,0.0,9861.54,18773.26
047155,28628.78,2966.13,0.0,11457.18,20137.73
051322,28621.75,3075.04,0.0,10452.38,21244.41
042498,28607.77,0.0,0.0,9527.18,19080.59
041025,28579.68,0.0,0.0,8373.75,20205.93
037567,28489.95,0.0,0.0,2107.87,26382.08
041629,28489.95,0.0,0.0,8289.78,20200.17
046426,28489.95,0.0,0.0,8341.92,20148.03
012963,28489.79,0.0,0.0,2107.85,26381.94
038431,28489.79,0.0,0.0,8341.86,20147.93
042340,28489.79,0.0,0.0,8341.86,20147.93
043214,28489.79,0.0,0.0,8341.86,20147.93
045063,28489.79,0.0,0.0,2107.85,26381.94
045501,28489.79,0.0,0.0,8911.66,19578.13
069922,28489.79,0.0,0.0,9702.92,18786.87
074381,28489.79,0.0,0.0,9755.06,18734.73
087513,28489.79,3133.88,0.0,10669.01,20954.66
052914,28345.64,3100.66,0.0,10537.97,20908.33
039161,28328.43,0.0,0.0,12947.33,15381.1
039195,28328.43,3116.13,0.0,10551.52,20893.04
040533,28328.43,3116.13,0.0,10603.66,20840.9
044733,28328.43,3116.13,0.0,10447.25,20997.31
049042,28328.43,3116.13,0.0,10603.66,20840.9
043125,28328.01,7522.72,0.0,11344.81,24505.92
053520,28272.35,3109.96,0.0,10580.95,20801.36
000931,28270.84,0.0,2432.44,1816.2,24022.2
057169,28265.58,3109.21,0.0,10578.19,20796.6
045551,28256.97,0.0,0.0,2082.24,26174.73
039608,28202.56,0.0,0.0,8187.83,20014.73
035572,28187.86,0.0,0.0,8758.35,19429.51
036081,28187.86,0.0,0.0,8182.62,20005.24
036871,28187.86,0.0,0.0,8758.35,19429.51
037168,28187.86,0.0,0.0,10814.58,17373.28
039241,28187.86,0.0,0.0,8234.75,19953.11
040495,28187.86,0.0,0.0,8706.21,19481.65
041858,28187.86,3100.66,0.0,10494.58,20793.94
042862,28187.86,3100.66,0.0,10546.72,20741.8
043681,28187.86,0.0,0.0,8234.75,19953.11
043842,28187.86,0.0,0.0,8234.75,19953.11
